web-scraper-order,web-scraper-start-url,boys-category-link,boys-category-link-href,boys-new-in-product-link,boys-new-in-product-link-href,boys-new-in-product-name,boys-new-in-product-image-src,product-price,item-size
"1707163507-1","https://global.direct.asda.com/george/kids/D25,default,sc.html","New In","https://global.direct.asda.com/george/kids/new-in/D25M1G2C1,default,sc.html","Easy On Adaptive Minecraft Grey T-Shirt","https://global.direct.asda.com/george/kids/tops-t-shirts/easy-on-adaptive-minecraft-grey-t-shirt/GEM1113380,default,pd.html?cgid=D25M1G1C1","Easy On Adaptive Minecraft Grey T-Shirt","https://asda.scene7.com/is/image/Asda/5059197296395?hei=1026&wid=762&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd","BGN23","5-6 Yrs"
"1707163507-2","https://global.direct.asda.com/george/kids/D25,default,sc.html","New In","https://global.direct.asda.com/george/kids/new-in/D25M1G2C1,default,sc.html","Easy On Adaptive Minecraft Grey T-Shirt","https://global.direct.asda.com/george/kids/tops-t-shirts/easy-on-adaptive-minecraft-grey-t-shirt/GEM1113380,default,pd.html?cgid=D25M1G1C1","Easy On Adaptive Minecraft Grey T-Shirt","https://asda.scene7.com/is/image/Asda/5059197296395?hei=1026&wid=762&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd","BGN23","6-7 Yrs"
"1707163507-3","https://global.direct.asda.com/george/kids/D25,default,sc.html","New In","https://global.direct.asda.com/george/kids/new-in/D25M1G2C1,default,sc.html","Easy On Adaptive Minecraft Grey T-Shirt","https://global.direct.asda.com/george/kids/tops-t-shirts/easy-on-adaptive-minecraft-grey-t-shirt/GEM1113380,default,pd.html?cgid=D25M1G1C1","Easy On Adaptive Minecraft Grey T-Shirt","https://asda.scene7.com/is/image/Asda/5059197296395?hei=1026&wid=762&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd","BGN23","7-8 Yrs"
"1707163507-4","https://global.direct.asda.com/george/kids/D25,default,sc.html","New In","https://global.direct.asda.com/george/kids/new-in/D25M1G2C1,default,sc.html","Easy On Adaptive Minecraft Grey T-Shirt","https://global.direct.asda.com/george/kids/tops-t-shirts/easy-on-adaptive-minecraft-grey-t-shirt/GEM1113380,default,pd.html?cgid=D25M1G1C1","Easy On Adaptive Minecraft Grey T-Shirt","https://asda.scene7.com/is/image/Asda/5059197296395?hei=1026&wid=762&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd","BGN23","8-9 Yrs"
"1707163507-5","https://global.direct.asda.com/george/kids/D25,default,sc.html","New In","https://global.direct.asda.com/george/kids/new-in/D25M1G2C1,default,sc.html","Easy On Adaptive Minecraft Grey T-Shirt","https://global.direct.asda.com/george/kids/tops-t-shirts/easy-on-adaptive-minecraft-grey-t-shirt/GEM1113380,default,pd.html?cgid=D25M1G1C1","Easy On Adaptive Minecraft Grey T-Shirt","https://asda.scene7.com/is/image/Asda/5059197296395?hei=1026&wid=762&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd","BGN23","9-10 Yrs"
"1707163507-6","https://global.direct.asda.com/george/kids/D25,default,sc.html","New In","https://global.direct.asda.com/george/kids/new-in/D25M1G2C1,default,sc.html","Easy On Adaptive Minecraft Grey T-Shirt","https://global.direct.asda.com/george/kids/tops-t-shirts/easy-on-adaptive-minecraft-grey-t-shirt/GEM1113380,default,pd.html?cgid=D25M1G1C1","Easy On Adaptive Minecraft Grey T-Shirt","https://asda.scene7.com/is/image/Asda/5059197296395?hei=1026&wid=762&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd","BGN27","10-11 Yrs"
"1707163507-7","https://global.direct.asda.com/george/kids/D25,default,sc.html","New In","https://global.direct.asda.com/george/kids/new-in/D25M1G2C1,default,sc.html","Easy On Adaptive Minecraft Grey T-Shirt","https://global.direct.asda.com/george/kids/tops-t-shirts/easy-on-adaptive-minecraft-grey-t-shirt/GEM1113380,default,pd.html?cgid=D25M1G1C1","Easy On Adaptive Minecraft Grey T-Shirt","https://asda.scene7.com/is/image/Asda/5059197296395?hei=1026&wid=762&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd","BGN27","11-12 Yrs"
"1707163507-8","https://global.direct.asda.com/george/kids/D25,default,sc.html","New In","https://global.direct.asda.com/george/kids/new-in/D25M1G2C1,default,sc.html","Easy On Adaptive Minecraft Grey T-Shirt","https://global.direct.asda.com/george/kids/tops-t-shirts/easy-on-adaptive-minecraft-grey-t-shirt/GEM1113380,default,pd.html?cgid=D25M1G1C1","Easy On Adaptive Minecraft Grey T-Shirt","https://asda.scene7.com/is/image/Asda/5059197296395?hei=1026&wid=762&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd","BGN27","12-13 Yrs"
"1707163507-9","https://global.direct.asda.com/george/kids/D25,default,sc.html","New In","https://global.direct.asda.com/george/kids/new-in/D25M1G2C1,default,sc.html","Easy On Adaptive Minecraft Grey T-Shirt","https://global.direct.asda.com/george/kids/tops-t-shirts/easy-on-adaptive-minecraft-grey-t-shirt/GEM1113380,default,pd.html?cgid=D25M1G1C1","Easy On Adaptive Minecraft Grey T-Shirt","https://asda.scene7.com/is/image/Asda/5059197296395?hei=1026&wid=762&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd","BGN22","13-14 Yrs"
"1707163507-10","https://global.direct.asda.com/george/kids/D25,default,sc.html","New In","https://global.direct.asda.com/george/kids/new-in/D25M1G2C1,default,sc.html","Easy On Adaptive Minecraft Grey T-Shirt","https://global.direct.asda.com/george/kids/tops-t-shirts/easy-on-adaptive-minecraft-grey-t-shirt/GEM1113380,default,pd.html?cgid=D25M1G1C1","Easy On Adaptive Minecraft Grey T-Shirt","https://asda.scene7.com/is/image/Asda/5059197296395?hei=1026&wid=762&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd","BGN25","14-15 Yrs"
